date_trans,price_trans,appr,xx,yy,id_zip,age,area,sfla,id_market
10/7/2008,239900,361400,840810.5808,1011798.662,63131,48,0.487405801,2049,Northwest
9/25/2009,144900,119500,873043.7567,969595.6377,63129,46,0.220792983,925,South
2/6/2006,273000,227100,876845.4438,1094298.918,63034,11,0.271310197,2480,North
5/18/2007,87000,82000,904809.8801,1075907.991,63138,48,0.104830234,864,North
2/12/2007,141500,147400,866005.1169,993830.4918,63123,51,0.204486731,1136,South
3/11/2004,115000,104400,882692.5432,1076172.348,63033,39,0.295410286,1526,North
7/22/2005,54900,59600,898590.8673,1063652.331,63137,54,0.144989615,792,North
8/11/2003,75900,56400,906540.3072,1064727.879,63137,49,0.168869605,1041,North
10/16/2009,112000,119200,880072.5895,1073357.827,63033,44,0.201605718,1709,North
4/20/2007,143000,139400,879283.235,990757.3106,63123,82,0.263717413,1627,South
8/22/2002,152000,103700,816388.1162,1001997.317,63021,47,0.500000437,1214,Southwest
9/10/2008,485000,656100,758080.7344,1017659.927,63005,5,3.121941212,3796,Northwest
7/7/2004,123900,96900,874252.4553,986821.5228,63123,50,0.194460945,888,South
8/23/2004,495000,380900,778988.715,1016335.637,63005,4,0.536333185,4960,Northwest
8/31/2005,492000,415200,777910.095,1014794.732,63005,5,0.439683276,3632,Northwest
7/26/2007,412000,395300,788489.0731,1012833.057,63005,23,0.38287687,2782,Northwest
2/15/2007,165900,151900,878991.0378,1046892.962,63121,67,0.132708902,1768,East70
9/1/2005,100000,104700,869435.6,1010506.725,63143,55,0.15496261,816,Central
8/31/2007,162500,165600,830056.3688,1053087.774,63043,30,0.2000616,1026,West70
4/11/2002,102500,86970,886559.0056,1068014.264,63136,38,0.240308461,1628,North
11/9/2004,195000,146500,839578.9718,1055985.749,63043,35,0.167380425,2087,West70
8/15/2002,209000,113290,865134.8597,1018743.857,63117,50,0.199176622,1170,Central
10/30/2002,320000,204540,840727.2741,1006727.218,63131,28,0.210666315,2193,Northwest
10/28/2005,205000,175400,874785.8587,949171.9414,63129,26,0.210982574,1781,South
9/29/2009,185000,189500,854139.9409,975989.6669,63128,57,0.460000496,1382,South
5/3/2001,67500,60560,903428.1323,1059492.708,63137,52,0.191978861,1278,North
7/15/2005,270000,238600,827449.6329,999190.4904,63021,27,0.20412352,1634,Southwest
4/18/2007,206000,188600,818262.9472,988298.1767,63088,14,0.120677315,1834,Southwest
9/4/2008,117000,108500,859980.8981,1053298.916,63134,66,0.137167516,1258,East70
7/6/2007,460000,444600,807217.2171,1021580.483,63017,5,0.234868372,2293,Northwest
2/9/2005,165000,153000,808893.9681,995641.0767,63021,27,0.185492296,1181,Southwest
8/6/2007,133000,120100,819590.6858,989456.0677,63088,21,0.061180111,906,Southwest
1/19/2005,528507,373200,850098.227,965379.4603,63128,1,0.306216497,3534,South
5/23/2001,162000,167560,826169.2544,999940.1588,63021,23,0.177728056,2090,Southwest
9/19/2003,139000,125600,854177.9764,1079216.547,63031,16,0.193837351,1458,North
6/23/2010,200000,224700,870916.3334,942883.7231,63129,19,0.340888908,2154,South
3/20/2007,955000,199600,823706.1681,1000292.349,63021,1,0.349255444,5362,Southwest
12/18/2002,108900,69770,874145.2629,990648.622,63123,54,0.14425678,780,South
10/2/2001,135000,119640,860914.7737,1082958.191,63031,5,0.336419728,1122,North
10/15/2002,124000,101000,869780.4388,1092860.416,63031,34,0.16921639,1366,North
1/11/2005,134900,108900,873482.6942,1085136.814,63033,41,0.245092489,1405,North
4/21/2004,149900,103500,882420.2834,1075730.668,63033,36,0.221629993,1943,North
10/5/2009,110000,119800,864867.6837,1090336.517,63031,37,0.205192007,1189,North
7/25/2007,360000,355500,871464.374,1029295.902,63130,78,0.128481033,2324,Central
3/21/2001,299000,258670,801134.9701,996308.2844,63021,5,0.285614416,2768,Southwest
9/23/2008,175000,173900,822780.7483,994014.6947,63088,13,0.546283106,1080,Southwest
3/19/2007,1895000,1895000,856167.2772,1014011.505,63124,10,4.786816995,6684,Central
5/23/2005,134900,109400,881504.6227,989144.6627,63123,49,0.130378959,912,South
7/3/2003,160000,133700,867373.4544,993305.3533,63123,55,0.643371166,1752,South
2/17/2006,235000,226400,875050.0427,952923.0843,63129,6,0.184678824,2190,South
12/11/2003,308000,210500,814512.006,1006317.155,63011,20,0.623154683,2944,Northwest
4/12/2002,207010,147510,868064.8187,965066.7715,63129,1,0.111778048,1639,South
8/19/2005,170000,126800,854447.9718,996356.5818,63126,53,0.20461356,1278,South
8/22/2006,125000,96000,864190.5972,1088857.272,63031,35,0.210282969,1189,North
3/8/2001,320000,296660,884050.2055,1091817.216,63034,8,2.970903821,2553,North
10/30/2002,102900,80980,861448.5426,1081437.635,63031,43,0.17099446,1210,North
6/13/2008,145000,93900,872878.8957,1013076.15,63143,88,0.193666609,954,Central
5/31/2007,183000,186600,880088.6225,1092539.308,63034,16,0.228872094,1632,North
10/15/2002,152900,100980,832689.6149,1045331.07,63043,34,0.172751866,1548,West70
6/18/2009,160000,147400,863195.0043,962301.3431,63129,53,0.478560975,1428,South
9/7/2005,200000,187700,844113.8773,1003105.069,63122,78,0.219159596,1067,South
8/27/2009,194500,163900,861905.6657,987214.1998,63123,40,0.18137489,1723,South
12/31/2003,168000,119200,803205.0372,1005778.151,63011,43,0.300472934,1150,Northwest
10/12/2005,230000,202800,825235.5276,1035423.284,63141,41,0.244990354,1935,Northwest
1/15/2002,311000,246500,822699.7731,1001338.239,63021,18,0.782988537,2718,Southwest
3/10/2004,68000,53300,872794.0751,1041148.571,63121,62,0.116276873,1018,East70
1/7/2008,279020,291500,811919.9835,992219.8704,63021,1,0.152661184,2311,Southwest
8/30/2006,131000,103600,864519.0614,1074580.759,63042,47,0.303716474,1160,West70
4/2/2007,172405,149300,875062.2046,971351.0538,63125,43,0.275498492,925,South
10/12/2006,298000,219200,855572.0278,1082678.985,63031,19,0.230093215,2628,North
3/7/2007,239900,223500,861980.684,974444.167,63128,35,0.256039468,1712,South
9/28/2001,432900,210800,863145.1424,1003128.305,63119,96,0.298879907,1927,South
8/3/2001,227900,185290,825105.5703,1038410.942,63146,4,0.121466902,1432,West70
7/15/2002,258000,216370,844560.3838,1037871.602,63146,15,0.209010393,2420,West70
3/27/2002,154500,116470,834166.3406,1053607.903,63043,27,0.168299216,1204,West70
10/22/2002,150000,99040,895261.3498,1080170.926,63033,36,0.353067095,2186,North
1/17/2007,500000,500000,834246.2795,1005817.301,63131,3,0.396252987,3030,Northwest
10/16/2001,120000,91130,839254.9245,998301.0279,63122,79,0.381858837,1352,South
12/10/2009,111500,87000,881936.0252,980959.8427,63125,80,0.143481794,832,South
3/1/2004,315000,208800,857198.9504,980373.2664,63128,53,0.590670135,2074,South
3/8/2007,51500,63400,870913.6901,1062840.373,63134,57,0.150857642,840,East70
7/17/2002,164900,130600,858621.2687,984746.1683,63126,38,0.169257389,1717,South
10/8/2009,165000,147200,833255.1128,1044990.896,63043,31,0.183654796,1130,West70
7/9/2001,107900,80050,866604.8227,979852.3854,63123,39,0.172183622,888,South
8/13/2002,110000,87600,882510.6963,989278.3861,63125,46,0.378458758,1358,South
4/9/2003,350000,295400,880663.7781,1093038.4,63034,6,3.156369513,2535,North
3/5/2004,124000,93100,806936.718,997985.6868,63021,31,0.08749101,1196,Southwest
3/22/2005,160000,86000,871396.1845,1012899.711,63143,85,0.131033168,1084,Central
1/24/2008,270000,248800,855886.7642,959476.6031,63128,25,0.259756888,1977,South
10/6/2005,345000,230900,872376.2856,1098995.798,63034,7,0.345156316,3173,North
8/22/2002,128500,93770,879607.227,1074685.59,63033,29,0.370596689,1546,North
4/25/2006,177000,136100,852967.5208,1045206.79,63114,45,0.347723436,1655,East70
8/1/2002,114000,62640,858724.0159,1036115.19,63132,46,0.160910605,1008,Central
7/24/2006,820000,1256900,832054.194,1024727.678,63141,20,1.081999778,6374,Northwest
8/9/2002,162900,86720,872911.3357,1013775.723,63143,77,0.158533178,1334,Central
11/15/2005,85000,82900,884288.5954,1066039.222,63136,42,0.177237927,1085,North
7/6/2007,615900,576300,853072.2671,1011173.715,63124,45,0.352379569,2442,Central
4/18/2001,199000,175980,846246.3055,985612.7565,63127,46,0.969628381,1672,South
1/6/2006,125555,89900,875822.8309,1069370.066,63135,55,0.439909506,1653,North
12/2/2003,97000,60600,864034.747,1050301.283,63114,40,0.135505647,962,East70
5/3/2007,322000,289600,805602.3618,1009711.857,63011,34,0.323531675,2317,Northwest
1/5/2007,126000,118800,889627.7025,1071254.807,63136,44,0.194028233,1147,North
7/26/2001,379000,310000,854206.1108,1030007.634,63132,55,0.45944762,1570,Central
9/23/2008,327000,282400,827624.0331,998548.1614,63021,29,0.241335204,2283,Southwest
7/29/2002,375000,231470,838477.8983,1010101.914,63131,45,0.415306129,2433,Northwest
1/30/2003,184500,147700,826252.0039,1041159.84,63146,15,0.10582337,1306,West70
9/9/2003,348000,218300,869251.1432,1024586.304,63105,74,0.152796235,1831,Central
5/20/2009,94500,84900,875990.8366,1075798.439,63033,58,0.17217944,1570,North
1/5/2005,167000,130100,884427.0391,1080234.851,63033,34,0.271096462,1620,North
4/30/2008,131500,128200,863707.9596,1091015.752,63031,30,0.206822927,1189,North
2/21/2007,99900,68100,887295.8613,1052017.307,63136,97,0.162345952,1288,North
2/6/2007,290000,304900,855180.7269,1035890.267,63132,6,0.103724286,1464,Central
2/5/2009,115000,119000,880241.5216,985458.9417,63125,49,0.137301144,980,South
2/9/2009,158000,167700,856449.1007,961259.795,63128,37,0.235900277,1204,South
7/7/2008,190000,211200,814764.3401,989836.6675,63021,22,0.1147927,1404,Southwest
4/14/2010,225000,213000,837586.6777,1038392.291,63146,41,0.250436399,1792,West70
5/22/2006,379900,278600,790638.667,997344.1153,63038,13,0.2792799,2650,Northwest
5/5/2003,152900,103800,833490.7181,1056909.172,63043,34,0.179551814,900,West70
9/15/2005,147900,132100,889135.0048,1078386.426,63033,5,0.241790324,1616,North
7/2/2004,134900,85500,898444.1648,1084357.643,63138,28,0.24273494,1168,North
5/23/2007,2077334,413300,776679.2815,1020932.593,63005,1,4.266341577,7982,Northwest
12/16/2003,195000,132100,840736.3201,996886.0031,63122,50,0.385026125,1506,South
6/7/2002,80000,70690,872493.8441,1063654.733,63135,51,0.38850714,2044,North
10/10/2006,109900,68800,880349.3136,1058305.408,63135,46,0.191258455,960,North
9/14/2006,318000,232400,805468.3488,1018875.153,63017,29,0.244687483,2332,Northwest
9/22/2003,142900,98200,869864.3044,996356.0516,63123,49,0.137079982,999,South
2/24/2010,112000,111500,875212.2859,995175.3171,63123,59,0.154973382,998,South
5/25/2001,210000,171560,825221.4378,1039337.153,63146,36,0.264420867,2496,West70
9/21/2006,320000,208100,873713.0356,1015977.409,63117,51,0.202624699,2187,Central
6/1/2009,115000,112000,874594.1623,1090680.694,63034,34,0.183849004,1045,North
9/7/2005,97000,62200,848830.1701,1054040.884,63074,51,0.149620169,720,East70
12/15/2008,410000,441000,791490.8677,1014361.969,63005,23,0.702639814,3141,Northwest
4/6/2009,704308,122400,840112.0967,984078.9927,63127,1,0.586994961,4154,South
9/5/2007,260000,302300,863963.5169,997671.1464,63119,55,0.244940441,1902,South
11/20/2009,123000,117100,861852.8679,1042846.909,63114,52,0.201180167,1066,East70
3/3/2006,97000,71700,861511.4449,1053600.501,63134,55,0.149219078,864,East70
3/21/2005,270000,181200,845554.4883,1002823.899,63122,82,0.161126478,1238,South
7/11/2007,122500,109300,859902.6211,1041122.018,63114,51,0.186386229,1305,East70
3/16/2006,170000,137600,875911.555,966372.1521,63129,37,0.196877971,1674,South
2/8/2006,173000,143800,803800.8978,999324.6139,63021,32,0.179527826,1310,Southwest
11/27/2007,787500,708300,842015.5633,1029655.633,63141,30,0.504491543,3877,Northwest
7/25/2007,672500,609000,875423.9143,1022366.385,63105,85,0.177916434,2906,Central
1/15/2002,259000,195780,854823.8836,1005881.165,63122,63,0.189175511,1764,South
1/3/2005,119900,97100,864139.3067,1044790.551,63114,57,0.218019973,1294,East70
9/5/2001,218000,165900,861088.3962,1013552.16,63144,6,0.172187575,1580,Central
12/7/2004,190000,115300,872758.1404,952580.0123,63129,32,0.230132076,1189,South
4/8/2002,60000,50740,904300.4985,1064238.635,63137,49,0.142379875,854,North
10/14/2002,140000,121360,865645.3243,1013821.807,63144,60,0.134687787,1251,Central
1/14/2002,133000,137060,849936.4417,1006450.756,63122,49,0.276644277,1044,South
7/30/2008,125000,115000,835510.8083,1058119.667,63043,49,0.172176563,952,West70
4/22/2004,89900,69600,903648.7824,1073135.493,63138,45,0.185385475,1015,North
9/2/2009,225000,234900,809703.1327,1027308.215,63017,34,0.321479141,2349,Northwest
6/6/2006,207000,169900,841226.5697,1035091.568,63146,46,0.273870572,1380,West70
3/11/2003,105000,90800,875302.0239,991085.7259,63123,64,0.115059183,1180,South
6/20/2005,549900,380500,790527.5456,1012287.164,63005,9,0.414120359,2724,Northwest
8/14/2002,122000,90000,855624.2026,1012110.294,63119,47,0.199110198,864,South
9/3/2004,310000,227500,796528.5376,1029850.368,63005,10,0.169502642,2345,Northwest
6/26/2006,159000,144100,853282.584,990682.0697,63126,49,0.153851203,1340,South
9/9/2009,604000,493800,817138.6014,1019751.112,63017,44,0.935907845,3556,Northwest
5/20/2010,242000,193500,781542.2809,1002670.978,63038,11,0.151529425,1577,Northwest
2/19/2003,83000,59100,897548.7321,1055112.196,63137,53,0.175888131,1165,North
12/19/2005,79500,62900,853065.7544,1043237.085,63114,64,0.186942848,768,East70
12/18/2001,364000,305260,836561.7867,1010450.322,63131,39,0.74847144,2411,Northwest
2/1/2001,146000,127630,829324.8819,973892.7056,63026,18,0.271792993,1236,Southwest
5/15/2003,244500,200600,867179.9601,946770.7072,63129,6,0.260612121,2508,South
3/7/2006,199900,149100,818987.5371,989071.3966,63088,13,0.097828106,1262,Southwest
3/20/2002,158000,122650,853885.1604,996102.1238,63126,48,0.346041298,1404,South
6/11/2008,214900,188100,864379.8152,964837.556,63129,40,0.237036415,1642,South
7/9/2007,159900,164300,844176.8343,1007157.906,63122,60,0.177386316,864,South
9/10/2002,161000,137040,844709.9221,998127.701,63122,77,0.414225791,1612,South
3/29/2001,260000,216590,867471.3228,1001396.66,63119,20,0.248008276,2407,South
3/29/2001,83000,77550,881364.7392,975901.2388,63125,66,0.108388825,978,South
5/12/2004,146000,104700,862687.1565,999885.658,63119,62,0.174221008,898,South
5/21/2003,392500,374000,788725.2027,1027812.449,63005,9,0.489288108,3190,Northwest
7/18/2003,237000,170300,865907.9528,999875.2884,63119,52,0.190544376,1594,South
10/22/2001,157500,122740,850163.2414,989945.4813,63127,45,0.266317222,1350,South
5/17/2002,178400,127300,865846.0062,1001218.639,63119,61,0.382139242,1020,South
7/3/2003,202000,166900,810194.9892,1027353.066,63017,27,0.231175505,1748,Northwest
10/30/2007,167000,190200,859139.1536,975331.2686,63128,54,0.603715452,1292,South
